teaser-title,link,head_line,real-data,image_links
"Tigray disarmament reaches “critical stage”, 85% heavy weapons surrendered",https://www.thereporterethiopia.com/34072/,"Tigray disarmament reaches “critical stage”, 85% heavy weapons surrendered","['– AU team plans to visit Humera and western Tigray', '– Tigray Region’s leader accuses Eritrea of trying to sabotage the peace process', 'The African Union Monitoring, Verification, and Compliance Mission (AU-MVCM) says the Disarmament program of the Tigray Defense Forces (TDF) has reached a critical stage.', 'After visiting Mekelle for two days, Alhaji Sarjoh Bah, Director of Conflict Management at the AU, stated on Friday that his team observed “sustained positive gains in Tigray, driven by the overall goodwill of the parties and the population embracing peace and working assiduously to rebuild their region.”', '“The next critical phase of the DDR process must focus on small arms and light weapons, the clearance of unexploded ordinances, and the full reintegration of former combatants,” reads the AU statement.', 'After visits from AU officials and military attaches, Major General Stephen Radina, the Kenyan general leading the AU-MVCM in Tigray, gave a press briefing at Planet Hotel in Mekelle on Friday. He said disarmament of heavy weapons in Tigray has surpassed 85 percent.', 'The MVCM was launched in December 2022 after the Pretoria agreement was signed. The National Reintegration Commission (NRC) is also preparing to rehabilitate close to 200,000 ex-combatants of the TDF.', '“We have witnessed the disarmament of heavy weapons and air force systems in Mekelle,” said Major General Radina.', 'Radina and his team are planning to visit Humera and parts of western Tigray by next month, areas they have not yet been able to access. Disarmament of mortars and anti-tanks will be finalized in the coming weeks.', 'However, Radina said “there are still war remnants in Shire, Axum, Alamata and other areas. We are working to clear them.”', 'He says this results in accidents when farmers resume activities and students start going to schools.', 'Roland Kobia, EU ambassador to Ethiopia, was also in Mekelle along the AU team.', 'Alhaji, despite praising the gains made in implementing the Cessation of Hostilities Agreement (CoHA), said “it is also important not to lose sight of the emerging and remaining challenges along the path to lasting peace. We commend the steps taken to put in place a transitional justice framework to address issues of accountability, reconciliation and healing.”', 'However, Getachew Reda, president of the Tigray Interim Administration (TIA), told the visitors that there is a more pressing challenge hampering the implementation of CoHA.', '“I apologize if I am creating inconveniences for Major General Radina who wants to keep those things as much private as possible. But he has been suffering at the hands of the Eritrean forces who still want to sabotage the peace process,” Getachew said.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Tigray-disarmament-reaches-min-696x355.jpg
MPs seek change to mining law for more regional state equity,https://www.thereporterethiopia.com/33923/,MPs seek change to mining law for more regional state equity,"['– Mining firms must provide the federal government with five percent equity', '– Regions will get two percent equity', 'Ethiopian lawmakers are seeking changes to the draft mining law to increase the share of equity that regional states receive from mining permits and revenues of mining firms.', 'The move comes as MPs, pundits and right groups push for greater regional state participation and ownership in the mining sector.', 'The draft law, which is under scrutiny, has faced criticism for not doing enough to ensure that local communities and regional states benefit from mining activities.', 'MPs demanded for the enhanced participation of regional states in the mining sector and provide them with a fair share of the revenue generated from mining operations.-', 'The proposed “Mining Resources Development Proclamation” draft outlines that any holder of a mining license must provide the federal government with five percent equity in their mining investments at no cost.', 'Similarly, regional states where mining operations take place will receive a two percent equity stake at no cost.', 'Nonetheless, MPs have recently highlighted the inadequacy of the regional states’ equity share during a parliamentary session. They have called for an increase in the equity share to ensure that regional states benefit fairly from mining activities.', 'Meseret Zelalem (PhD), a member of parliament, stated, “The draft has to be prepared to help the larger public who are giving their land for mining exploration,” adding, “The amount is insignificant and must be revised.”', 'MP Ashine Asten concurs.', 'Ashine stated that the proposed two percent grant for a regional state’s equity share was insufficient in light of the significant impact these miners have on the environment and society.', 'This is especially true given the presence of cyanide and mercury in certain mining operations, both of which have negative effects on society and the environment, according to MPs.', '“Besides, there are not enough healthcare or educational facilities in mining locations, and child labor exploitation is evident. In this situation, I suggest increasing the share and putting the required safety precautions in place,” Ashine said.', 'MPs are hopeful that the next debate on the “Mining Resources Development Proclamation” draft will consider elements that support the livelihoods of nearby residents and compensate workers in the mines.', 'Another MP has suggested that the equity share for both the federal and regional governments should be increased to maintain balance and provide sufficient funds for society.', 'During the parliamentary session, an MP highlighted the importance of ecological restoration in mining areas to restore ecological balance, which requires significant funding from local administrations.', 'The proposed proclamation seeks to decrease the royalty fees on large-scale mining from seven percent to five percent. Precious minerals will carry a royalty rate of five percent, while semi-precious, metal, chemical, industrial, construction, and salt minerals will be taxed at a four percent royalty rate.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/MPs-seek-change-to-mining-law-for-696x355.jpg
IMF: Ethiopia’s Debt Restructuring Contingent on Creditor Assurance,https://www.thereporterethiopia.com/33901/,IMF: Ethiopia’s Debt Restructuring Contingent on Creditor Assurance,"['Creditors’ assurance is required before Ethiopia’s debt restructuring request materializes, the International Monetary Fund (IMF) says.', 'The prerequisite is expected to lower Ethiopia’s expectations.', 'Julie Kozack, director of communications at the IMF, revealed the requirements during a press briefing on May 11, 2023.', '“A new program would require clear commitments from development partners and financing assurances from creditors under the G20 Common Framework to ensure that it can meet its objectives,” Kozack stated. The Director was pleased with the progress of peace and stability in northern Ethiopia.', 'Due to the war in northern Ethiopia, the IMF withheld around USD 2.5 billion from its credit window.', '“Ethiopia has been subject to multiple shocks, including six consecutive years of drought. It’s also had domestic conflict, and it has also suffered from food price shocks that came after Russia’s invasion of Ukraine,” Kozack said.', 'She says the country faces significant economic challenges, including food insecurity, humanitarian needs, inflation, and foreign currency shortages.', '“We do welcome the strong progress toward restoring lasting peace in Ethiopia, and we also welcome the authority’s homegrown economic reform agenda. It’s an ambitious reform program that aims to address Ethiopia’s key macroeconomic vulnerabilities and unlock Ethiopia’s considerable economic potential,” she said.', 'The IMF has continued to issue contradictory statements, according to insiders and experts The Reporter reached out to, primarily because the United States did not approve Ethiopia’s debt restructuring request.', 'Ethiopia made the request in 2021, but despite positive comments, the creditors committee and the IMF have yet to take action.', '“IMF is playing the ‘cat and mouth’ game. Kozack’s statement indicates that some creditors agreed to restructure Ethiopia’s’ debt, while others are still not on board. While the IMF is saying creditors’ assurance is required, the creditors committee is saying that IMF approval is required,” an insider who spoke to The Reporter on the condition of anonymity said.', 'The real reason, according to the insider, is the failure of US officials to reach agreement over Ethiopia’s debt restructuring request. “If the US gave its approval, the IMF and creditors committee could immediately process Ethiopia’s request for debt restructuring.”', 'Ethiopia’s request for debt restructuring is being evaluated by the US Treasury Department, State Department, and security agencies, each from a different perspective.', 'The Treasury Department is focused on the financial implications, the State Department on the diplomatic implications, and the security agencies on the national security implications, according to sources.', '“The varying viewpoints among these entities may pose challenges for the US in making a decision on Ethiopia’s request. \xa0Approval from all three is required before the US can grant the request, which may necessitate extensive negotiation and compromise to reach a consensus,” insider said.', '“As the US nears its election, it is unlikely that these three departments agree, unless they do it sooner. This is because US Africa policy and foreign relations would take center stage during the campaigns,” the insider added.', 'The current Ethiopian government prefers the Republicans to win, according to the insider.', '“The Ethiopian government is unhappy with the Democrats. However, it has no choice but to work together because reconstruction, DDR, and humanitarian funds are also expected from western countries and donors.”', 'In April, a mission from the IMF evaluated Ethiopia, after which discussions continued at the Spring Meeting last month, where officials of the Ethiopian Ministry of Finance, the National Bank of Ethiopia (NBE), and macroeconomic advisors to Prime Minister Abiy Ahmed (PhD) engaged in lengthy discussions.', 'IMF director Kristalina Georgieva and World Bank president David Malpass demanded that Ethiopia unify its currency as a prerequisite for debt restructuring during the Meeting. Finance Minister Ahmed Shide assured the International Monetary Fund and World Bank that Ethiopia would take “bold measures” to reform the country’s currency exchange system.', 'Nonetheless, in an interview with state media last week, Mamo Mihretu, governor of the NBE, refuted the claim that the government did not discuss the exchange rate regime.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/IMF-Ethiopias-Debt-Restructuring-696x355.jpg
"Fighting in Sudan forces 130,000 refugees to seek safety in Ethiopia",https://www.thereporterethiopia.com/33898/,"Fighting in Sudan forces 130,000 refugees to seek safety in Ethiopia","['Thousands of Sudanese refugees fleeing the conflict in Sudan are expected to arrive in Ethiopia, the United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA) announced.', 'It anticipates the arrival of up to 130,000 refugees, including 100,000 Ethiopians and the remainder being foreign nationals.', 'Ethiopian returnees, nationals of third countries, and Sudanese continue to enter the country via its border crossing points in the regions of Amhara (Metema), Benishangul Gumuz (Kurmuk), and Gambella (Pagak/Bubieyr), according to the UNOCHA report dated May 11, 2023.', 'Every day, approximately 500 refugees arrive in Metema.', 'Sources claim that transportation costs between Khartoum and the Ethiopian border have skyrocketed to five figures.', 'As of May 11, 2023, Metema alone had received 18,531 refugees. A month after the outbreak of war in Khartoum in mid-April, the number of refugees fleeing to Ethiopia, Chad, South Sudan, and other neighboring nations is growing.', 'Last week, Meles Alem, spokesperson for the Ministry of Foreign Affairs (MoFA), stated at a weekly briefing that nearly one million Ethiopians reside in Sudan.', 'UNOCHA estimates that up to 860,000 Sudanese refugees and returnees will arrive in neighboring countries. Humanitarian agencies require a total of USD 445 million to manage the influx. Ethiopia’s appeal accounted for USD 76.9 million of the requested funding.', 'Only 22 percent of Ethiopia’s requested Humanitarian Response Plan for 2023 has been funded thus far.', 'As of May 12, 2023, the UN refugee agency reported that 200,000 people had already fled Sudan. 60,000 of them fled to Chad.', 'Sudan’s army and rival paramilitary Rapid Support Forces (RSF) signed a declaration on May 12, 2023, following a week of negotiations in the Saudi Arabian port city of Jeddah. The combatants agreed to allow humanitarian aid, protect civilians, and work toward a temporary ceasefire.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Fighting-in-Sudan-forces-130000-696x355.jpg
"Tigray schools in ruins, 3,846 students, teachers killed in conflict",https://www.thereporterethiopia.com/34244/,"Tigray schools in ruins, 3,846 students, teachers killed in conflict","['The conflict in Ethiopia’s Tigray region claimed the lives of over 3,846 teachers and students, reveals Ethiopia’s Institution of the Ombudsman.', 'Ongoing damage assessments paint a grim picture of devastation to schools and educational facilities.', 'The report, presented on May 25, 2023, revealed that the war in Tigray had taken the lives of 2,146 students and 1,700 teachers over two years. The substantial loss of life threatens to severely disrupt learning for a generation of Tigray’s youth.', 'Six months after the Pretoria Accord ended the fighting, over 2.8 million Tigrayans remain displaced from their homes.', 'The findings emerged a week after internally displaced persons and Tigray residents staged massive protests demanding the withdrawal of Eritrean and Amhara forces occupying parts of Tigray.', 'Officials from the Tigray Interim Administration stated that as long as these troops remain, internally displaced persons cannot return to their former livelihoods – including schools left shattered in the conflict’s aftermath.', 'One million of the 2.8 million internally displaced persons are from northwest Tigray, which reportedly remains under the control of Eritrean and Amhara forces.', 'However, even near the regional capital Mekelle, over 419,000 internally displaced persons remain, as well as 299,000 in central Tigray, 256,000 in eastern Tigray, 195,000 in the southwest, and over 45,000 in the south.', 'The internally displaced persons are also not receiving adequate aid and support, according to Adane Belay, director of abuse prevention at the Ethiopian Institution of the Ombudsman. The institute conducted the research between April 30 and May 10, 2023.', 'Adane stated that during the war, 96 percent of student desks, 95 percent of blackboards, 88 percent of student classrooms (both completely and partially), 63 percent of textbooks, and 31 percent of administrative buildings were destroyed in the Tigray region.', 'Damage to healthcare facilities is estimated at 65 billion Ethiopian birr, while damage to electricity infrastructure is estimated at three billion birr, telecommunications infrastructure at 1.3 billion birr, and water infrastructure at 489 million birr.', 'Property worth 69 billion birr has been destroyed in just four sectors alone, according to the report.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Tigray-schools-in-ruins-min-696x355.jpg
Nurturing promising female athletes in a town of runners,https://www.thereporterethiopia.com/34210/,Nurturing promising female athletes in a town of runners,"['Fetiya Abdi began her athletic career at age 14. In school and regional tournaments, she ran shorter distances, primarily the 400 meters. With Tirunish Dibaba, Engayehu Dibaba, and Tiki Gelana as training partners in Bekoji, Fetiya kept up her participation in races of varying distances, including the marathon.', 'Her athletic career was cut short by an injury, and she has since retired. After changing careers, she has spent nearly a decade in Bekoji town coaching young athletes aged 14 to 19.', 'Fetiya, with the help of the Sinke Women’s Development Association, which has been supporting athletes in Bekoji for over seven years, recruits female athletes across a wide range of disciplines.', '“A variety of support is provided to our athletes, and their regular training is supported. Accordingly, foods, sports equipment, jerseys, and basic materials have been provided by the association,” Fetiya told The Reporter.', 'According to the Coach, the participants compete in races ranging from 800 to 3000 meters in distance four days a week. They have also competed in project competitions and the Oromia Athletics Championship.', '“They have participated in various championships in Oromia and are achieving good results. I have no doubt that they will be able to participate in various international championships tomorrow,” Fetiya said.', 'The Tirunesh Athletic Training Center and the Bekoji Athletic Training Center, according to Fetiya, are enlisting the majority of the young people in Asela. Six competitors have reportedly registered at the Tirunesh training center to compete in the 3000 meter, 1500 meter, and 800 meter events.', 'Many of the country’s most successful athletes, who have repeatedly carried the country’s banner at international contests, were born in Bekoji. A lack of athletes to take the place of the veterans has hindered continuing with notable success.', 'On the other hand, Fetiya told The Reporter that the city is home to many talented athletes who simply lack the resources necessary to engage in sustainable training.', '“The athletes are showing that they can be effective if given the necessary support. The teenagers are receiving support from abroad. However, it is not enough. More support is needed,” Fetiya insisted.', 'She advocated for financial backing from investors and from former notable athletes who left Bekoji.', 'Bekoji and Eldorate are two cities that are often regarded as being very hospitable to runners. These two nations have historically dominated international long-distance contests. The cities’ elevated positions at 2,800 meters above sea level give local athletes a distinct advantage.', 'Five Olympic gold medals were won by athletes from the city of Bekoji. Fatuma Roba claimed the gold medal in the marathon, while Tirunesh Dibaba and Kenenisa Bekele each won two gold medals at the Olympics.', 'However, athletics has fallen as a result of a lack of attention to the sport, and the fact that city training fields are being transferred to citizens with no other places to train has contributed to the decline. The lack of an appropriate field has forced athletes to train by the roadside in unfavorable conditions, resulting in traffic accidents and poorer times.', 'Many foreign athletes have flocked to the city to train, and the stadium has been put to a variety of other uses. The city has an athletic training center, but it falls short of even the most basic standards.', 'Residents of the city are of the opinion that the athletes have already forgotten about it.', '“Even if the athletes the city has produced are not willing to come to Bekoji, we are surprised that they cannot encourage their successors to come to the city to follow in their footsteps,” residents of Bekoji remarked.', 'On the other hand, reports indicate that Eldoret is just as jam-packed with athletes as it was yesterday. Athletes of all ages frequent the city, but especially those living there. Athletes from all around the world, not just those from the host country, call this metropolis home.', 'The city is striving to become a tourist hotspot, realizing the economic possibilities sports may bring.', 'As a city that has produced numerous Kenyan champions, including the current world record holder in the marathon, Elude Kipchoge, Eldoret has constructed a stadium with a capacity of 10,000 spectators for long and medium distance races. There is a USD 35,000 marathon that takes place in Eldoret every year.', 'International businesses, managers, and sports agents and advisors all congregate at the Kenyan Athletes’ Club in a bid to represent or find talented athletes to sponsor. Despite their similarities, Bekoji has stayed put rather than trying to reclaim its past glory.', 'For the second year in a row, the Great Ethiopian Run and the Ministry of Tourism put on a race in Bekoji town.', 'Bekoji town played host to the second annual Great Ethiopian Run race, which was put on in conjunction with the Ministry of Tourism.', 'Winners of the Bekoji Great Run will now also compete in Eldoret and vice versa, under an agreement between the two cities.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Nurturing-promising-female-athletes-min-696x355.jpg
"Kenya’s GMO plans disrupted, but Ethiopia pushes forward with testing",https://www.thereporterethiopia.com/34268/,"Kenya’s GMO plans disrupted, but Ethiopia pushes forward with testing","['The Kenyan government’s move to import Genetically Modified Organisms (GMOs) for human consumption has faced a setback as the appellate court ruled the move is contrary to the public interest. The appellate court declined the government’s appeal until the interests of the public are heard.', 'On Thursday, May 25, 2023, a panel of three appellate judges, including Justice Mohammed Warsame, Ali Aroni, and John Mativo, stated the application by Kenya’s Attorney General Justin Muturi “lacked merit,” adding that “the public interest test was not met,” according to local media.', 'The use of GMOs has been controversial in many African nations, including Kenya. Critics argue that GMOs could potentially pose risks to human health and the environment. While Kenya faces legal hurdles in its attempt to import GMOs, Ethiopia takes a proactive approach to GMO adoption by testing genetically modified crops. However, concerns remain over the potential health and environmental risks of GMO products, both in Kenya and Ethiopia.', 'Ethiopia has seen little opposition to GMO adoption due to the lack of strong consumer protection activity in the country. Meanwhile, the ongoing legal battle in Kenya highlights the divide between the pro-GMO government and anti-GMO opposition groups who argue that the government did not consult the public and that GMO products pose health risks.', 'In October 2022, the new administration of William Ruto reversed the Kenyan government’s ten-year ban on consumable GMOs, but the Kenyan high court ruled against the decision a month later. The government appealed, and the appeals court upheld the high court’s verdict in favor of GMO opposition groups in Kenya.', '“We see nothing for the court to preserve and it cannot be said that the substratum of the appeal will be eroded,” ruled the appellate court in Kenya.', 'The Kenyan High Court is also hearing another case filed by the Kenyan Peasant League, a representing body of a social movement. The League opposes the government’s decision to impose GMOs, arguing that allowing their cultivation and consumption is unlawful and that the government did not consult the public. Furthermore, the League asserts that GMO products pose health risks.', 'As a result of the ongoing case, the Kenyan government is prohibited from importing or distributing GMO crops and food until a final verdict is reached. If the Kenyan Peasants League wins the case, the Kenyan government may be permanently banned from importing GMOs.', 'The Kenyan government has argued that adopting biotechnology and using GMOs will significantly help to resolve Kenya’s food security challenges and boost the supply of animal feed. The debate between the pro-GMO Kenyan government and the anti-GMO community in Kenya follows similar lines of argument to those in Ethiopia.', 'In a stark contrast to Kenya, the Ethiopian government is currently testing the adoption of consumable GMOs without opposition. The government is testing GMO maize, wheat, potato, and enset in confined areas within different agricultural research centers, according to an official at the Ethiopian Institute of Agricultural Research (EIAR).', 'The official, who leads teams of researchers working on GMO adoption, spoke about the progress at an agricultural expo held for weeks at the science museum. However, the official requested not to be quoted as he is not authorized to speak publicly.', '“The adoption of these GMOs is necessary to fight diseases and increase productivity in these crops. Once proven in confined testing areas, they will be released to farmers. However, authorization from the biosafety regulators at the Environment, Forest and Climate Change Commission is required,” said the official.', 'So far, Ethiopia has authorized commercial purposes only for cotton, and commercial authorization for local cultivation of wheat, maize, potato, and enset is expected. However, experts have concluded that GMO products are already being imported and consumed in Ethiopia, both intentionally and unintentionally.', 'The lack of controlling mechanisms to test GMO and non-GMO commodities upon importation contributes to this unintentional consumption, and there is evidence of GMO items being smuggled into Ethiopia through border areas, mainly from Sudan.', 'Ethiopia adopted the arguable GMO proclamation in 2015, changing Ethiopia’s strict position for the first time. While the government proposes that GMOs can solve the country’s food security challenge, there has been little opposition.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Kenyas-GMO-min-696x355.jpg
Ethiopian $50m E-commerce to deliver global goods to African doorsteps,https://www.thereporterethiopia.com/34262/,Ethiopian $50m E-commerce to deliver global goods to African doorsteps,"['Ethiopian Airlines Group is set to launch a cutting-edge global e-commerce enterprise, in partnership with e-commerce giants Alibaba and Amazon, among other collaborators.', 'Located adjacent to the cargo terminal at Bole International Airport, ET’s e-commerce hub is nearing completion, with a staggering construction cost of USD 50 million.', 'During the 11th African Airlines Association (AFRAA) stakeholders’ convention, held from May 7-9 at the Skylight Hotel in Addis Ababa, Abel Alemu, Managing Director of Cargo and Logistics Services for the Group, confirmed that the warehouse is in its final stages and will be fully automated.', 'The warehouse will operate as a central distribution center for merchandise sourced from global e-commerce providers.', 'Ethiopian Airlines will then deliver these products to African consumers based on their orders, effectively bridging the gap between global e-commerce enterprises and the African market.', 'Ali Mohammed, the Group’s Corporate Communication officer, has unveiled Ethiopian Airlines’ plan to offer African customers the opportunity to order products from the partnered companies, with the airline delivering the goods to any location within the continent.', 'ET aims to transform Addis Ababa into a hub of the global supply chain, Ali disclosed.', '“For instance, suppose an Ethiopian residing in Addis Ababa purchases a USD 10 commodity from Dubai. Since no supplier can deliver this single commodity to Addis, it is unfeasible. However, Ethiopian Airlines can aggregate all such orders, bring the products in bulk, and deliver them to customers,” Ali clarified.', 'Since the COVID-19 outbreak, ET’s cargo business has witnessed substantial growth. The fusion of Africa’s import demand with e-commerce is predicted to carve out a new business avenue for the airline.', 'Ali asserts that a considerable number of people in Ethiopia and other African countries wish to purchase items from the United States, Europe, China, and other places, but there is no practical method of transporting these products to the continent.', '“ET’s e-commerce will bridge that gap,” he remarked.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Ethiopian-50m-E-commerce-to-deliver-min-696x355.jpg
Mass protests erupt over mosque demolitions,https://www.thereporterethiopia.com/34271/,Mass protests erupt over mosque demolitions,"['– Two deaths were reported\xa0 \xa0– Thirty-seven police personnel were injured', 'Mass protests broke out in Addis Ababa following Friday prayers as a result of anger over mosque demolitions in the neighboring Shegger city.', 'The demonstrations took place around mosques in the capital yesterday, May 23, 2023, including the Grand Anwar Mosque.', 'Demonstrators called for an immediate stop to the demolitions as well as the rebuilding of the 19 mosques already razed during the last few weeks.', 'Social media outcry has escalated due to the demolitions, with videos showing police officers in riot gear blocking angry protesters circulating widely.', 'The Muslim community has been demanding responses from the Oromia Regional state and federal government offices for the past few weeks but did not receive a positive response.', 'Previously, the Ethiopian Islamic Affairs Supreme Council and the Oromia Region Islamic Affairs Council expressed their opposition to the demolitions and called for immediate action by the government.', 'The Addis Ababa Police Commission reported yesterday that there were two deaths following the protest around the Grand Anwar Mosque.', 'The Commission also reported that 37 police personnel and 15 police assistants were injured during the protest. Police also reported that approximately 114 suspects were detained for allegedly playing “a main role in coordinating the protest.”', 'Muslim activists and religious leaders have voiced deep dismay over what transpired during the protest.', '“It is heartbreaking that the government deployed force against peaceful protesters voicing opposition to the sweeping mosque demolitions,” prominent Muslim figure Ahmedin Jebel posted on his Facebook account, which has over 979,000 followers.', 'Another Muslim figure, Bedru Hussien, called the situation disheartening.', '“The government needs to sit down and discuss with institutions representing the Muslim community, instead of trying to silence them by using force,” he said on his Facebook account, which has over 400,000 followers.', 'A few months after being established surrounding Addis Ababa, administrators of Shaggar City and the Oromia Regional State have been accused by rights groups of demolishing several residential houses and exhibiting ethnic bias during the process, which the city administration denied.', 'The Ethiopian Islamic Council also wrote a letter to Prime Minister Abiy Ahmed (PhD) last week regarding interference from his office, demanding the mosques to be reconstructed. The Oromia Council, for its part, disclosed that at least 19 mosques were demolished in Shaggar City.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/MASS-PROTESTS-ERUPT-OVER-MOSQUE-min-696x355.jpg
"Dangote, Coca Cola among firms vying for Ethiopia’s sugar factories",https://www.thereporterethiopia.com/34265/,"Dangote, Coca Cola among firms vying for Ethiopia’s sugar factories","['Among the 20 companies interested in bidding for Ethiopia’s eight state-owned sugar factories slated for privatization are cement giant Dangote and beverage corporation Coca-Cola, sources reveal.', 'The list of local firms seeking to acquire the sugar plants also includes Ethio Sugar, the conglomerate Abyssinia Group and investment firm 54 Capital, insiders disclosed.', 'After the Ministry of Finance and Ethiopian Investment Holding (EIH) announced tender for the sugar factories in August 2022, around 20 local and international corporations expressed initial interest, the Ministry announced last week.', 'The Reporter learned nearly half of the companies keen to enter the sugar business by acquiring the state assets were local.', '“We have already identified three potential sugar factories that we can acquire. We will decide which one we should acquire before the deadline,” says Daryl Wilson, Managing Director of Coca- Cola Beverages Africa (CCBA) Ethiopia, adding that the company has a plan to seek equity investors to partner in the acquisition process.', 'Earlier this week, the Ministry together with the EIH, made an official request for the interested companies to submit their proposals for the privatization of the companies. Labeled a “critical milestone” in the government’s project of privatizing the sector, the Ministry and EIH issued the Request for Proposal (RFP) beginning May 23, 2023.', 'The eight factories up for privatization are Arjo Dedessa, Kessem, Omo Kuraz 1, Omo Kuraz 2, Omo Kuraz 3, Omo Kuraz 5, Tana Beles and Tendaho.', 'While presenting his Ministry’s nine-month performance for the current fiscal year, Minister Ahmed Shide told Members of Parliament (MPs) last week that his office has been preparing to transfer ownership of the eight selected sugar factories to private investors.', 'Ahmed revealed that the valuations of the factories had been finalized.', '“The government has already made huge investments in the sugar factories. It is believed that the business would be more efficient in the private sector given the current macroeconomic situation of the country,” he told the MPs.', 'He expressed hopes that once in private hands, the industry would operate with peak agility and precision, leveraging corporations’ vast corporate know-how and financial muscle to upgrade and expand sugar operations.', 'Hinjat Shamil, senior economic reform advisor at the Ministry says various investors have approached the Ministry, indicating the number of companies that formally registered preliminary interest don’t represent all interested firms.', '“Even firms that did not officially express interest may still submit formal proposals, ” she told The Reporter.', 'The investors will have a two-month window to conduct due diligence, Hinjat explained. Visiting the factories and studying the market will be important works for investors before they make their offers.', 'When asked for the names of firms that’ve submitted expression of interest and are engaging with the Ministry now, the senior advisor refused to disclose due to “confidentiality,” but confirmed that nearly half of the firms that have showed interest so far are local.', 'Management at one of the companies vying for one of the factories told The Reporter the factories are “extremely overvalued,” potentially reducing firms’ appetite for the bids.', '“If the government does not sell them at a lower value even after spending huge sums, I don’t think many companies will commit to the value being set,” the manager said.']",https://www.thereporterethiopia.com/wp-content/uploads/2023/05/Dangote-Coca-min-696x355.jpg
