,Text,Date
10,,2023-06-05 10:03:37+00:00
11,,2023-06-05 10:03:37+00:00
12,"#ነዳጅ

ሳዑዲ አረቢያ ከነዳጅ ምርቷ በቀን 1 ሚሊዮን በርሜል እቀንሳለሁ ማለቷን ተከትሎ የነዳጅ ዋጋ መጨመሩ ተነገረ።

ሌሎች የዓለማችን ነዳጃ አምራች አገራትም በተመሳሳይ የነዳጅን ዋጋን ለማረጋጋት በማሰብ የምርት አቅርቦታቸውን ለመቀነስ ተስማምተዋል ተብሏል።

ሳዑዲ አረቢያ በቀጣዩ ሀምሌ ወር በየቀኑ 1 ሚሊዮን በርሜል ነዳጅ ከምርት አቅርቦቷ ላይ እንደምትቀነስ የገለጸች ሲሆን የነዳጅ ላኪዎች ሀገራት ማህበር ወይም ኦፔክ+ እንደ አውሮፓውያኑ በ2024 ዕለታዊ የነዳጅ አቅርቦት በ1.4 ሚሊዮን በርሜል እንደሚቀንስ ገልጿል።

ኦፔክ+ የዓለምን 40 በመቶ የነዳጅ ፍላጎት የሚያሟላ ሲሆን ውሳኔው በዓለም የነዳጅ ምርት ዋጋ ላይ ከፍተኛ ተጽእኖ ሊያሳድር ይችላል።

የሳዑዲን ውሳኔ ተከትሎ በእስያ ገበያ የደፍድፍ ነዳጅ ዋጋ በ 2.4 በመቶ አሻቅቦ በበርሜል 77 ዶላር ሆኗል።

የሳዑዲ ኢነርጂ ሚንስትር ልዑል አብዱላዚዝ ቢን ሰልማን ፤ የነዳጅ ምርት አቅቦቱን የመቀነሱ ውሳኔ አስፈላጊ ከሆነ ከሃምሌም በኃላ #ሊራዘም ይችላል ብለዋል። ውሳኔው የዓለም የነዳጅ ዋጋን እንደሚያረጋጋ ገልጸዋል።

#ቢቢሲ

@tikvahethiopia",2023-06-05 08:28:54+00:00
13,,2023-06-05 08:28:54+00:00
14,"በወንጀል ድርጊት የተማረሩት ነዋሪዎች  . . .

በጋምቤላ ከተማ የሚፈፀሙ ወንጀሎች መፍትሄ ያገኙ ዘንድ በጋምቤላ የቲክቫህ ቤተሰብ አባላት ጠየቁ።

አንድ ነዋሪነቱ በጋምቤላ ከተማ የሆነ የቲክቫህ ቤተሰብ አባል ፤ በከተማው ማታ እንዲሁም በቀን ሳይቀር ዘረፋና ሌሎች የወንጀል ድርጊቶች መበራከቱን ገልጸው የጋምቤላ ክልል መንግስት ልዩ ትኩረት እንዲሰጠው ጠይቀዋል።

"" ቀን ላይ እንኳ ከዋናው አስፓልት በቀር አብዛኞቹ ቦታዎች ላይ ሰው ብቻውን ለመሄድ እስከሚሰጋ ድረስ ነው ወንጀል የተበራከተው ""  ሲሉ ሁኔታውን አስረድተዋል።

ሌላ የጋምቤላ ቲክቫህ አባል ፤ በከተማው የወንጀል ድርጊት እጅግ መስፋፋቱን በመግለፅ እንደ ከዚህ ቀደሙ በነፃነት ወጥቶ ለመንቀሳቀስ አስቸጋሪ ሆኗል ሲል ገልጿል። በመሆኑም ለጉዳዩ ትኩረት በመስጠት የከተማው ደህንነት እንዲጠበቅ ማድረግ ይገባል ሲል አስገንዝቧል።

ሌሎችም የቤተሰቦቻችን አባላት በከተማ ዝርፊያ፣ ንጥቂያ እና ሌሎችም ወንጀሎች መስፋፋታቸውን በመጠቆም አስቸኳይ እና አስተማማኝ መፍትሄ እንዲበጅ ጥሪ አቅርበዋል።

ከጥቂት ቀናት በፊት የጋምቤላ ፖሊስ ፤ በጋምቤላ ከተማ የንጥቂያና ዝርፊያ ወንጀሎች #መባባሱንና ይህም በህዝቡ ዘንድ ቅሬታ እያስነሳ መሆኑን መግለፁ ይታወሳል።

በተለይ በተሽከርካሪ የሚፈፀም ስርቆትና ዝርፊያን ለመከላከልም ከምሽቱ 3 ሰዓት እስከ ጠዋቱ 12 ሰዓት ድረስ ባለሁለት እግር ተሽከርካሪ ሞተር ሳይክሎች ላይ እገዳ ጥሏል።

እንደ ፖሊስ መረጃ በከተማዋ እየተስፋፋ በመጣው የዝርፊያና መሰል ወንጀሎች በዋናነት ተጠቂዎቹ ሴቶችና አቅመ ደካሞች ናቸው።

Via @tikvah_eth_BOT

@tikvahethiopia",2023-06-05 06:53:17+00:00
15,,2023-06-05 06:53:17+00:00
16,""" ይህ ድርጊት መቼም ይፈፀም መቼ ተጠያቂነት ሊሰፍን ይገባል ""

ከዚህ ቀደም በተለያዩ የሀገሪቱ ክፍሎች በታጠቁና የፀጥታ ኃይሎችን ልብስ በለበሱ አካላት እጅግ ዘግናኝ የግፍ ግድያዎች ሲፈፀሙ በቪድዮ ታይቷል።

ከምንም ነገር በላይ እጅግ በጣም አሳዛኙ ተግባር ደግሞ የሚሰሩትን ዘግናኝ ስራ ልክ በጎ ነገር እንዳደረጉና መልካም እንደሰሩ በቪድዮ ቀርፀው ማሰራጨታቸው ነው። 

ቪድዮውን ሚቀርፃቸው ሌላ ሶስተኛ ወገን ሳይሆን ደግሞ እራሳቸው ገዳዮቹ ናቸው።

ከዚህ ቀደም በቪድዮ ህዝብ ዘንድ ደርሶ በታዩት ብቻ (ሌሎች በቪድዮ ያልታዩ ብዙ ግፎች ይኖሩ ይሆናል) እጅግ በርካቶችን ቁጣ ውስጥ የከተተ ሲሆን የድርጊቱ ፈፃሚዎች ተገቢውን ፍርድ እንዲያገኙ ሲጠየቅ ነበር።

ከሰሞኑን ደግሞ ከዚህ ቀደም ያልታየ አንድ እጅግ በጣም ዘግናኝ ቪድዮ በማህበራዊ ሚዲያዎች ላይ እየተዘዋወረ ይገኛል።

ቪድዮው ፤ ላይ በቁጥር አራት (ከቪድዮ ቀራጩ ውጭ) የፀጥታ ኃይሎችን ልብስ የለበሱ የታጠቁ አካላት ሁለት ሰዎችን ጫካ ውስጥ አስገብተው እጃቸውን የኃላ የፊጥኝ አስረው በጥይት ደብድበው ሲገድሏቸው ይታያል።

ወደ ኃይላ የፊጥኝ ታስረው የነበሩትን ግለሰቦች የገደሉት በቪድዮው እንደታየው ሁለቱ ሲሆኑ አንድ የሬድዮ መገናኛ በእጁ የያዘ ሰው ደግሞ "" በለው "" ብሎ ትዕዛዝ ሲሰጥ ይታያል።

ድርጊቱ / ቪድዮ መቼና የት ? ቦታ ላይ የተፈፀመ / ተቀረፀ ለሚለው የተሟላ መረጃ ለጊዜው ማግኘት ባይቻልም ፤ ኢትዮጵያ ውስጥ የፀጥታ ኃይል ልብስ በለበሱ እና በአግባቡ በተሟላ ሁኔታ በታጠቁ አካላት ስለመፈፀሙ የሚያጠራጥር አይደለም።

የፀጥታ ኃይሎች ስለታጠቁ ብቻ ይህንን ግፋዊና ከስርዓት ውጭ የሆነ አረመኔያዊ እርምጃ መውሰዳቸው በርካቶችን ያሳዘነ እና ያስቆጣ ሆኗል።

የሚመለከተው የመንግሥት አካል ፣ የሰብዓዊ መብት ተሟጋች ተቋማት ስለጉዳዩ ማብራሪያ ሊሰጡበት ይገባል።

ይህ ድርጊት መቼ ? የት ? ተፈፀመ ፤ የተገደሉት ግለሰቦችስ እነማን ናቸው ? ፍትህ ተገኝቷል ወይ ? የሚለው መልስ ያሻል ፤ ድርጊቱ መቼም ይፈፀም መቼ ግን ተጠያቂነት ሊሰፍን፤ የማስተማሪያ እርምጃ ሊወሰድ የግድ ይላል።

@tikvahethiopia",2023-06-05 06:40:18+00:00
17,,2023-06-05 06:40:18+00:00
18,,2023-06-05 06:40:18+00:00
19,,2023-06-05 06:40:18+00:00
20,""" ብሩህ ኢትዮጵያ ""

የሥራና ክህሎት ሚኒስቴር ፤ "" ማሰልጠን ፣ መሸለም ፣ ማብቃት "" በሚል መርህ የሚያካሄደው እና በሁሉም ክልሎች ከወረዳ ጀምሮ ሲካሄድ የቆየው "" ብሩህ ሀገር አቀፍ የንግድ ሥራ ፈጠራ ሃሳብ ውድድር "" ከ200 የክልል ተወዳዳሪዎች እሸናፊዎቹን የሚለይበት መርሐ ግብር እየተዘጋጀ ይገኛል።

የሥራ ዕድል የሚፈጥሩ እንዲሁም ለሌሎች ተምሳሌት የሚሆኑ ወጣቶችን የመፍጠር ተልዕኮን አንግቦ በ2013 ዓ.ም የተጀመረው የፈጠራ ሥራ ውድድር በዚህ ዓመት በሀገር አቀፍ ደረጃ እየተከናወነ ይገኛል።

በዚህ ዓመት ከየክልሉ የተመዘገቡት 1016 የፈጠራ ሃሳቦች ሲሆኑ ከዩኒቨርሲቲዎች 127 ናቸው ተብሏል።

ለውድድሩ የመመልመያ መስፈርትና ፎርማቶችን በማዘጋጀት ለ1240 ወረዳዎች፣ ለ98 ዞኖች ለፖሊቴክኒክ ኮሌጆች እና ዩኒቨርሲቲዎች በየክልሎቹ አማካይነት እንዲሰራጭ የተደረገ ሲሆን ውድድሩ ይፋ ከተደረገበት እስከ ሚያዚያ 15 ቀን 2015 ዓ.ም ድረስ ከተማ አስተዳደሮች እና ክልሎች ከወረዳ ጀምረው አወዳድረው የተሻለ የፈጠራ ሃሳብ ያላቸውን በማበረታታት በፌደራል ደረጃ ለሚካሄደው ውድድር ዝግጁ እንዳደረጉ ተገልጿል።

ከየክልሉ ያለፉት 200 ተወዳዳሪዎች ከዛሬ ግንቦት 28/2015 ዓ.ም ጀምሮ ወደ ተዘጋጀላቸው ቡራዩ ተሰጥዖ ማበልፀጊያ ትምህርት ቤት የማሰልጠኛ ካምፕ ( Boot camp) የሚገቡ ይሆናል ተብሏል።

በቆይታቸው ኢንተርፕርነርሺፕ፣ ሃሳብን ወደተግባር መቀየር እና የንግድ አመሰራረትን በተመለከተ ስልጠና ይሰጣቸዋል።

ካምፕ ከገቡት ተወዳዳሪዎች መካከል በየደረጃው ተወዳድረው አሸናፊ የሚሆኑትን 50 ምርጥ ሀሳቦች በፌዴራል ደረጃ በመሸለም ብሩህ ኢትዮጵያ 2015 ውድድር የሚጠናቀቅ ይሆናል። 

እስካሁን በተካሄዱ 7 ሀገር አቀፍ እና ክልላዊ ውድድሮች በአጠቃላይ 2,412 አመልካቾች የተሳተፉ ሲሆን ለ400 ሃሳብ ባለቤቶች ወይም 552 ወጣቶች (343 ወ፤ 129 ሴ) የቡትካምፕ ስልጠና ተሰጥቷል፡፡በአጠቃላይ ለ 167 ምርጥ ሃሳቦች የ 1,518,00 ዶላር የገንዘብ ሽልማት ተበርክቷል፡፡

"" ብሩህ የሥራ ዕድል ፈጠራ ኃሳቦች ውድድር "" ፕሮግራም በኢትዮጵያ በሥራ ዕድል ፈጠራ ዘርፍ እና በማህበረሰቡ ውስጥ የሚታዩ ቁልፍ ችግሮችን ለመፍታትና የሥራ ዕድሎችን ለመፍጠር የሚችሉ አዳዲስ ሀሳቦች ይዘው የሚመጡ ወጣቶችን ለማበረታታት የተዘጋጀ የውድድር መርሐ ግብር ነው።

@tikvahethiopia",2023-06-05 06:39:27+00:00
21,,2023-06-05 06:39:26+00:00
22,"#4freemarket

#አስፈላጊ_ምርቶች ፤ በተመጣጣኝ_ዋጋ

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን : https://t.me/forfreemarket

አነስተኛ የልብስ እና ጫማ ማጠቢያ 
👉 ለጫማ ለልብስ ቦታ የማይዝ
👉 ለፓንት፣ ቦክሰር እና ካልሲ 
👉 ለቲሸርት
 👉ለዳይፐር

አድራሻ ፦ ፒያሳ ጣይቱ ሆቴል ጊቢ ውስጥ
ስልክ፦ 0911255787፣  0983360606
ጥራት መለያችን ነው!",2023-06-05 06:39:14+00:00
23,"ጋምቤላ . . . ኦሮሚያ

"" በአካባቢው #ሰላም አስፍኛለሁ "" - የሀገር መከላከያ ሰራዊት

ይህ ከጋምቤላ ወደ ሸበል ደንቢዶሎ የሚወስደው መንገድ ላለፉት 3 ዓመታት በፀጥታ ችግር ተዘግቶ ቆይቷል።

በዚህም ምክንያት ፤ ዜጎች ከፍተኛ የኢኮኖሚ እና ማህበራዊ ችግር ሲገጥማቸው ነበር።

አሁን ላይ ግን ሀገር መከለከያ ሰራዊት መንገዱ ለኅብረተሰቡ አገለግሎት መስጠት እንዲችል የሰላም ማስከበር በመስራት መንገዱ እንዲከፈት ማድረጉን አሳውቋል።

የሀገር መከላከያ ሠራዊት "" በቀጠናው የተሰጠኝን የሰላም ማስከበር ግዳጅ በአግባቡ በመወጣት በአካባቢው ሰላም አስፍኛለሁ "" ብሏል። 

ማኅበረሰቡ በስፋት የሚገናኝበት እንዲሁም የገበያ ትሥሥሩን የሚያጠናክርበት መንገድ ዳግም በሰላም መደፍረስ እንዳይዘጋ የመንግሥት ኃላፊዎች ኃላፊነታቸውን እንዲወጡ የመከላከያ ሰራዊቱ አስገንዝቧል።

በዚህ ቀጠና ባለፉት 3 ዓመታት በነበረው ግጭት ሕዝቡ ክፉኛ የተጎዳ ሲሆን በተለይ የመንገዱ መዘጋት በሕዝቡ  #የኢኮኖሚያዊ እና #ማኅበራዊ ሕይወት ላይ ከፍተኛ ቀውስ አስከትሏል።

#GambellaPressSecretariat

@tikvahethiopia",2023-06-04 19:11:25+00:00
24,,2023-06-04 19:11:25+00:00
25,,2023-06-04 19:11:24+00:00
26,,2023-06-04 19:11:24+00:00
27,,2023-06-04 19:11:24+00:00
28,""" ፍ/ቤቱ የሚያስከስሳቸው ጉዳይ የለም በማለት በነፃ አሰናብቷቸዋል "" - ጠበቃ በሙሉ ታደሰ 

አቶ ዘመነ ካሴ ከዘጠኝ ወራት በኋላ ዛሬ ጠዋት ከባሕር ዳር ማረሚያ ቤት ከእስር መፈታታቸውን ጠበቃቸውን ዋቢ በማድረግ ዶቼ ቨለ ሬድዮ ጣቢያ ዘግቧል።

አቶ ዘመነ "" በህግ ማስከበር ሥራ ላይ የነበረን ሰው #ገድለዋል "" በሚል ወንጀል ተጠርጥረው በቁጥጥር ሥር የዋሉት መስከረም 11 ቀን 2015 ዓ.ም በባሕር ዳር ከተማ ነበር። 

ጉዳያቸውን ሲመለከት የቆየው የባሕር ዳር እና አካባቢው ፍ/ቤት አቶ ዘመነን "" የሚያስከስሳቸው ጉዳይ ባለመኖሩ "" ግንቦት 25 ቀን 2015 ዓ.ም በነፃ እንዳሰናበታቸው ጠበቃቸው አቶ በሙሉ ታደሰ ተናግረዋል።

በመጀመሪያዎቹ  የጊዜ ቀጠሮዎች ወቅት ሌሎች ግለሰቡ የተጠረጠሩባቸው ጉዳዮች ቢኖሩም ክሱ በዋናነት ከግድያ ወንጀል ጋር የተያያዘ እንደነበር ጠበቃው ተናግረዋል፡፡

አቶ ዘመነ ካሴ ወደ ፍ/ ቤት እንደማይሄዱ ካሳወቁ በኋላ አብዛኛውን የፍርድ ሂደታቸውን በሌሉበት በባህርዳር እና አካባቢው ፍርድ ቤት ሲካሄድ መቆየቱን የሬድዮ ጣቢያው ዘገባ አመልክቷል።

አቶ ዘመነ ካሴ በቀድሞ የ "" አርበኞች ግንቦት 7 "" ውስጥ በአባልነትና በአመራር ውስጥ የነበሩ እና ረጅም ጊዜ በኤርትራ በርሀ ውስጥ በመሆን "" #ኢህአዴግ "" መራሹን አገግዛ ሲታገሉ ያሳለፉ ፤ በኢትዮጵያ የመጣውን ለውጥ ተከትሎም ውጭ ያሉ የታጠቁ አካላት ትጥቃቸው አውርደው ወደ ሀገር ሲገቡ ወደ ሀገር የገቡ ሲሆን ወደ ሀገር ከገቡ በኃላ በፋኖ አደረጃጀት እንቅስቃሴ ውስጥ በፊት መስመር ላይ ከሚታወቁ ግለሰቦች መካከል አንዱ ናቸው።

ከዚህ ቀደም ለአንድ የውጭ ሚዲያ በሰጡት ቃል ፤ በአማራ ክልል በጎጃም አካባቢ የሚንቀሳቀውና እራሱን "" የአማራ ሕዝባዊ ኃይል ፋኖ "" በማለት የሚጠራው ቡድን ሰብሳቢ እንደሆኑ ተናግረው ነበር።

@tikvahethiopia",2023-06-04 18:22:15+00:00
29,,2023-06-04 18:22:15+00:00
